Title,Category,Methods,Abstract
Prevalence of computer vision syndrome during the COVID-19 pandemic: a systematic review and meta-analysis,computer vision,None,"BACKGROUND: Computer vision syndrome has become a significant public health problem, especially in developing countries. Therefore, this study aims to identify the prevalence of computer vision syndrome during the COVID-19 pandemic.
METHODS: A systematic review and meta-analysis of the literature was conducted using the databases PubMed, Scopus, Web of Science, and Embase up to February 22, 2023, using the search terms ""Computer Vision Syndrome"" and ""COVID-19"". Three authors independently performed study selection, quality assessment, and data extraction, and the Joanna Briggs Institute Meta-Analysis of Statistics Assessment and Review Instrument was used to evaluate study quality. Heterogeneity was assessed using the statistical test I2, and the R version 4.2.3 program was used for statistical analysis.
RESULTS: A total of 192 studies were retrieved, of which 18 were included in the final meta-analysis. The total sample included 10,337 participants from 12 countries. The combined prevalence of computer vision syndrome was 74% (95% CI: 66, 81). Subgroup analysis based on country revealed a higher prevalence of computer vision syndrome in Pakistan (99%, 95% CI: 97, 100) and a lower prevalence in Turkey (48%, 95% CI: 44, 52). In addition, subgroup analysis based on study subjects showed a prevalence of 82% (95% CI: 74, 89) for computer vision syndrome in non-students and 70% (95% CI: 60, 80) among students.
CONCLUSION: According to the study, 74% of the participants experienced computer vision syndrome during the COVID-19 pandemic. Given this finding, it is essential to implement preventive and therapeutic measures to reduce the risk of developing computer vision syndrome and improve the quality of life of those affected.
TRIAL REGISTRATION: The protocol for this systematic review and meta-analysis was registered in the international registry of systematic reviews, the International Prospective Register of Systematic Reviews (PROSPERO), with registration number CRD42022345965."
UNet segmentation network of COVID-19 CT images with multi-scale attention,other,None,"In recent years, the global outbreak of COVID-19 has posed an extremely serious life-safety risk to humans, and in order to maximize the diagnostic efficiency of physicians, it is extremely valuable to investigate the methods of lesion segmentation in images of COVID-19. Aiming at the problems of existing deep learning models, such as low segmentation accuracy, poor model generalization performance, large model parameters and difficult deployment, we propose an UNet segmentation network integrating multi-scale attention for COVID-19 CT images. Specifically, the UNet network model is utilized as the base network, and the structure of multi-scale convolutional attention is proposed in the encoder stage to enhance the network's ability to capture multi-scale information. Second, a local channel attention module is proposed to extract spatial information by modeling local relationships to generate channel domain weights, to supplement detailed information about the target region to reduce information redundancy and to enhance important information. Moreover, the network model encoder segment uses the Meta-ACON activation function to avoid the overfitting phenomenon of the model and to improve the model's representational ability. A large number of experimental results on publicly available mixed data sets show that compared with the current mainstream image segmentation algorithms, the pro-posed method can more effectively improve the accuracy and generalization performance of COVID-19 lesions segmentation and provide help for medical diagnosis and analysis."
Prevalence of computer vision syndrome: a systematic review and meta-analysis,computer vision,None,"Although computer vision syndromes are becoming a major public health concern, less emphasis is given to them, particularly in developing countries. There are primary studies on different continents; however, there are inconsistent findings in prevalence among the primary studies. Therefore, this systematic review and meta-analysis aimed to estimate the pooled prevalence of computer vision syndrome. In this study, the review was developed using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Online electronic databases, including PubMed/Medline, CINAHL, and Google Scholar, were used to retrieve published and unpublished studies. The study was conducted from December 1 to April 9/2022. Study selection, quality assessment, and data extraction were performed independently by two authors. Quality assessment of the studies was performed using the Joanna Briggs Institute Meta-Analysis of Statistics Assessment and Review Instrument tool. Heterogeneity was assessed using the statistical test I2. STATA 14 software was used for statistical analysis. A total of 7,35 studies were retrieved, and 45 studies were included in the final meta-analysis. The pooled prevalence of computer vision syndrome was 66% (95% CI: 59, 74). Subgroup analysis based on country was highest in Pakistan (97%, 95% CI: 96, 98) and lowest in Japan (12%, 95% CI: 9, 15). Subgroup analysis based on country showed that studies in Saudi Arabia (I2 = 99.41%, p value &lt; 0.001), Ethiopia (I2 = 72.6%, p value &lt; 0.001), and India (I2 = 98.04%, p value &lt; 0.001) had significant heterogeneity. In the sensitivity analysis, no single study unduly influenced the overall effect estimate. Nearly two in three participants had computer vision syndrome. Thus, preventive practice strategic activities for computer vision syndrome are important interventions."
Analysis and Recognition of Clinical Features of Diabetes Based on Convolutional Neural Network,computer vision,"neural network, convolutional neural network","Diabetes mellitus is a common chronic noncommunicable disease, the main manifestation of which is the long-term high blood sugar level in patients due to metabolic disorders. However, due to excessive reliance on the clinical experience of ophthalmologists, our diagnosis takes a long time, and it is prone to missed diagnosis and misdiagnosis. In recent years, with the development of deep learning, its application in the auxiliary diagnosis of diabetic retinopathy has become possible. How to use the powerful feature extraction ability of deep learning algorithm to realize the mining of massive medical data is of great significance. Therefore, under the action of computer-aided technology, this paper processes and analyzes the retinal images of the fundus through traditional image processing and convolutional neural network-related methods, so as to achieve the role of assisting clinical treatment. Based on the admission records of diabetic patients after data analysis and feature processing, this paper uses an improved convolutional neural network algorithm to establish a model for predicting changes in diabetic conditions. The model can assist doctors to judge the patient's treatment effect by using it based on the case records of inpatient diagnosis and treatment and to predict the risk of readmission of inpatients after discharge. It also can help to judge the effectiveness of the treatment plan. The results of the study show that the model proposed in this paper has a lower probability of misjudging patients with poor recovery as good recovery, and the prediction is more accurate."
"A machine learning model for separating epithelial and stromal regions in oral cavity squamous cell carcinomas using H&E-stained histology images: A multi-center, retrospective study",other,"neural network, convolutional neural network","OBJECTIVE: Tissue slides from Oral cavity squamous cell carcinoma (OC-SCC), particularly the epithelial regions, hold morphologic features that are both diagnostic and prognostic. Yet, previously developed approaches for automated epithelium segmentation in OC-SCC have not been independently tested in a multi-center setting. In this study, we aimed to investigate the effectiveness and applicability of a convolutional neural network (CNN) model to perform epithelial segmentation using digitized H&E-stained diagnostic slides from OC-SCC patients in a multi-center setting.
METHODS: A CNN model was developed to segment the epithelial regions of digitized slides (n = 810), retrospectively collected from five different centers. Deep learning models were trained and validated using well-annotated tissue microarray (TMA) images (n = 212) at various magnifications. The best performing model was locked down and used for independent testing with a total of 478 whole-slide images (WSIs). Manually annotated epithelial regions were used as the reference standard for evaluation. We also compared the model generated results with IHC-stained epithelium (n = 120) as the reference.
RESULTS: The locked-down CNN model trained on the TMA image training cohorts with 10x magnification achieved the best segmentation performance. The locked-down model performed consistently and yielded Pixel Accuracy, Recall Rate, Precision Rate, and Dice Coefficient that ranged from 95.8% to 96.6%, 79.1% to 93.8%, 85.7% to 89.3%, and 82.3% to 89.0%, respectively for the three independent testing WSI cohorts.
CONCLUSION: The automated model achieved a consistently accurate performance for automated epithelial region segmentation compared to manual annotations. This model could be integrated into a computer-aided diagnosis or prognosis system."
Deep Learning applications for COVID-19,both,None,"This survey explores how Deep Learning has battled the COVID-19 pandemic and provides directions for future research on COVID-19. We cover Deep Learning applications in Natural Language Processing, Computer Vision, Life Sciences, and Epidemiology. We describe how each of these applications vary with the availability of big data and how learning tasks are constructed. We begin by evaluating the current state of Deep Learning and conclude with key limitations of Deep Learning for COVID-19 applications. These limitations include Interpretability, Generalization Metrics, Learning from Limited Labeled Data, and Data Privacy. Natural Language Processing applications include mining COVID-19 research for Information Retrieval and Question Answering, as well as Misinformation Detection, and Public Sentiment Analysis. Computer Vision applications cover Medical Image Analysis, Ambient Intelligence, and Vision-based Robotics. Within Life Sciences, our survey looks at how Deep Learning can be applied to Precision Diagnostics, Protein Structure Prediction, and Drug Repurposing. Deep Learning has additionally been utilized in Spread Forecasting for Epidemiology. Our literature review has found many examples of Deep Learning systems to fight COVID-19. We hope that this survey will help accelerate the use of Deep Learning for COVID-19 research."
Deep Transfer Learning for COVID-19 Prediction: Case Study for Limited Data Problems,computer vision,"neural network, convolutional neural network","OBJECTIVE: Automatic prediction of COVID-19 using deep convolution neural networks based pre-trained transfer models and Chest X-ray images.
METHODS: This research employs the advantages of computer vision and medical image analysis to develop an automated model that has the clinical potential for early detection of the disease. Using Deep Learning models, the research aims at evaluating the effectiveness and accuracy of different convolutional neural networks models in the automatic diagnosis of COVID-19 from X-ray images as compared to diagnosis performed by experts in the medical community.
RESULTS: Due to the fact that the dataset available for COVID-19 is still limited, the best model to use is the InceptionNetV3. Performance results show that the InceptionNetV3 model yielded the highest accuracy of 98.63% (with data augmentation) and 98.90% (without data augmentation) among the three models designed. However, as the dataset gets bigger, the Inception ResNetV2 and NASNetlarge will do a better job of classification. All the performed networks tend to over-fit when data augmentation is not used, this is due to the small amount of data used for training and validation.
CONCLUSION: A deep transfer learning is proposed to detecting the COVID-19 automatically from chest X-ray by training it with X-ray images gotten from both COVID-19 patients and people with normal chest X-rays. The study is aimed at helping doctors in making decisions in their clinical practice due its high performance and effectiveness, the study also gives an insight to how transfer learning was used to automatically detect the COVID-19."
Improving the accessibility and transferability of machine learning algorithms for identification of animals in camera trap images: MLWIC2,other,neural network,"Motion-activated wildlife cameras (or ""camera traps"") are frequently used to remotely and noninvasively observe animals. The vast number of images collected from camera trap projects has prompted some biologists to employ machine learning algorithms to automatically recognize species in these images, or at least filter-out images that do not contain animals. These approaches are often limited by model transferability, as a model trained to recognize species from one location might not work as well for the same species in different locations. Furthermore, these methods often require advanced computational skills, making them inaccessible to many biologists. We used 3 million camera trap images from 18 studies in 10 states across the United States of America to train two deep neural networks, one that recognizes 58 species, the ""species model,"" and one that determines if an image is empty or if it contains an animal, the ""empty-animal model."" Our species model and empty-animal model had accuracies of 96.8% and 97.3%, respectively. Furthermore, the models performed well on some out-of-sample datasets, as the species model had 91% accuracy on species from Canada (accuracy range 36%-91% across all out-of-sample datasets) and the empty-animal model achieved an accuracy of 91%-94% on out-of-sample datasets from different continents. Our software addresses some of the limitations of using machine learning to classify images from camera traps. By including many species from several locations, our species model is potentially applicable to many camera trap studies in North America. We also found that our empty-animal model can facilitate removal of images without animals globally. We provide the trained models in an R package (MLWIC2: Machine Learning for Wildlife Image Classification in R), which contains Shiny Applications that allow scientists with minimal programming experience to use trained models and train new models in six neural network architectures with varying depths."
An Intelligent Diagnosis Method of Brain MRI Tumor Segmentation Using Deep Convolutional Neural Network and SVM Algorithm,computer vision,"neural network, convolutional neural network","Among the currently proposed brain segmentation methods, brain tumor segmentation methods based on traditional image processing and machine learning are not ideal enough. Therefore, deep learning-based brain segmentation methods are widely used. In the brain tumor segmentation method based on deep learning, the convolutional network model has a good brain segmentation effect. The deep convolutional network model has the problems of a large number of parameters and large loss of information in the encoding and decoding process. This paper proposes a deep convolutional neural network fusion support vector machine algorithm (DCNN-F-SVM). The proposed brain tumor segmentation model is mainly divided into three stages. In the first stage, a deep convolutional neural network is trained to learn the mapping from image space to tumor marker space. In the second stage, the predicted labels obtained from the deep convolutional neural network training are input into the integrated support vector machine classifier together with the test images. In the third stage, a deep convolutional neural network and an integrated support vector machine are connected in series to train a deep classifier. Run each model on the BraTS dataset and the self-made dataset to segment brain tumors. The segmentation results show that the performance of the proposed model is significantly better than the deep convolutional neural network and the integrated SVM classifier."
Generative Adversarial Networks and Its Applications in Biomedical Informatics,computer vision,neural network,"The basic Generative Adversarial Networks (GAN) model is composed of the input vector, generator, and discriminator. Among them, the generator and discriminator are implicit function expressions, usually implemented by deep neural networks. GAN can learn the generative model of any data distribution through adversarial methods with excellent performance. It has been widely applied to different areas since it was proposed in 2014. In this review, we introduced the origin, specific working principle, and development history of GAN, various applications of GAN in digital image processing, Cycle-GAN, and its application in medical imaging analysis, as well as the latest applications of GAN in medical informatics and bioinformatics."
The Impact of Internet and Videogaming Addiction on Adolescent Vision: A Review of the Literature,computer vision,None,"During the past decade, vision problems that were attributed to the use of electronic screens have gradually shifted from being a workplace health issue to a wider public health issue. ""Computer vision syndrome"" originally related to the few professionals exposed to long hours of work in front of a computer screen. The widespread use of digital screens in devices used throughout the day have led to the emergence of ""digital eye strain"" as a new clinical syndrome that affects every individual who spends a large period of time fixated on multiple screens, for work or leisure. A new subcategory, ""video game vision"" has been proposed to specifically address vision issues related to large periods of continuous use of screen enabled devices in order to play video games. With gaming disorder being included in the next version of the WHO classification of diseases (ICD-11), it is becoming increasingly important to have a clear idea of the impact of this disorder in general health and functioning. At the same time, a number of research studies have reported positive impact of videogame playing on the players vision. This article reviews the latest research studies on the impact of digital screen enabled devices on adolescent vision in light of the increasing reports of internet addiction and gaming disorder while referencing positive findings of videogaming on vision in order to provide a balanced approach and assist with classification, diagnosis and treatment, while providing directions for future research."
Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,computer vision,None,"PURPOSE: To determine the prevalence of symptoms of computer vision syndrome and to identify its associated factors. The secondary objective was to assess knowledge and practices related to preventing computer vision syndrome symptoms.
METHODS: The data for this cross-sectional study were collected through a self-administered questionnaire distributed to 713 female undergraduates studying business and medicine in Saudi Arabia. The questionnaire included computer vision syndrome validated symptoms and factors associated with computer vision syndrome development.
RESULTS: The most common symptom due to prolonged computer use was neck or shoulder pain, reported by 82.2% of the subjects. Overall, 66.5% of the subjects suffered from headache and 51.5% from dry eyes, in mild, moderate, or severe form. Business students were 1.6 times as likely as medical students to suffer from computer vision syndrome (odds ratio = 1.65; 95% confidence interval: 1.22, 2.24). The use of electronic devices for more than 5 h (odds ratio = 1.52; 95% confidence interval: 1.07, 2.16) was also associated with experiencing computer vision syndrome symptoms. Regarding computer vision syndrome prevention, factors such as hours of use, screen distance, screen brightness, and room illumination showed statistically significant difference between the two groups (p < 0.0001).
CONCLUSION: The prevalence of computer vision syndrome symptoms was significantly higher among business students, who reported lower awareness and poor practice measures of computer use recommendations. Relevant awareness campaigns focusing on the appropriate use of computers are highly recommended."
